Team,Season_End_Year,Points,Rank
West Ham,2013,46,9.0
West Ham,2014,40,13.0
West Ham,2015,47,11.0
West Ham,2016,62,7.0
West Ham,2017,45,10.0
West Ham,2018,42,13.0
West Ham,2019,52,9.0
West Ham,2020,39,16.0
West Ham,2021,65,6.0
West Ham,2022,56,7.0
West Ham,2023,40,14.0
Wigan Athletic,2006,51,10.0
Wigan Athletic,2007,38,17.0
Wigan Athletic,2008,40,14.0
Wigan Athletic,2009,45,11.0
Wigan Athletic,2010,36,16.0
Wigan Athletic,2011,42,16.0
Wigan Athletic,2012,43,15.0
Wigan Athletic,2013,36,18.0
Wimbledon,1993,54,12.0
Wimbledon,1994,65,6.0
Wimbledon,1995,56,9.0
Wimbledon,1996,41,14.0
Wimbledon,1997,56,8.0
Wimbledon,1998,44,13.0
Wimbledon,1999,42,15.0
Wimbledon,2000,33,18.0
Wolves,2004,33,18.0
Wolves,2010,38,15.0
Wolves,2011,40,17.0
Wolves,2012,25,20.0
Wolves,2019,57,7.0
Wolves,2020,59,6.0
Wolves,2021,45,12.0
Wolves,2022,51,9.0
Wolves,2023,41,13.0
